scene,method,epsilon1_error,epsilon2_error,task_success,geometry_error_mm,gain_relative_error,sensor_relative_residual
0,no_reference,0.031863997246246445,0.038189932654341785,True,0.027292896552040258,0.017883161421073532,0.012388277755478135
0,noisy_reference_GLS,0.02474018752768581,0.030526806606611778,True,0.027696528215168437,0.014490659765311002,0.012433872209916472
0,fixed_EM,0.03195456179311096,0.03858562862702408,True,0.028739477870662444,0.017884737226458974,0.012388526591592145
0,random_EM,0.031922087397150634,0.03833793100257754,True,0.02942544607150621,0.01788412261612079,0.01238836028193692
1,no_reference,0.08012920964615566,0.19286579732195097,False,0.018545522573333417,0.0830132809316027,0.011463908800720861
1,noisy_reference_GLS,0.008035725150747464,0.012569120750470564,True,0.0037787172765221255,0.0038396429362194564,0.011584280754552898
1,fixed_EM,0.07912540347369967,0.1909441304135644,False,0.015058099134346165,0.08188232780819055,0.011466684960628469
1,random_EM,0.08022941869930467,0.1931139928890655,False,0.019723092218999927,0.08318063284468638,0.011464021863173074
2,no_reference,0.2979128432776297,0.8867177728737126,False,0.20395226697730634,0.18308922376119002,0.012428036392974634
2,noisy_reference_GLS,0.07929781069658048,0.13148881908214172,False,0.17524771914186,0.040580662187216156,0.013375881300736038
2,fixed_EM,0.2882282273251282,0.8570978109412111,False,0.2033811057321434,0.1760742490281473,0.012435130402784982
2,random_EM,0.2982901679990144,0.8873057381594611,False,0.20352752288549675,0.1833312904363311,0.01242813771081997
3,no_reference,0.15206890399221673,0.5898006711296335,False,0.0547484151254336,0.12738361443242457,0.011187870376587713
3,noisy_reference_GLS,0.04975478267032862,0.06888509809897414,True,0.08909215430536666,0.03379719968813204,0.012264500577885301
3,fixed_EM,0.15209306473439144,0.5906408197789266,False,0.056982566955755654,0.12738491335403077,0.011188522663148529
3,random_EM,0.15215783453823062,0.5901802014927848,False,0.053741380901616176,0.127383907528982,0.011188140280295572
4,no_reference,0.2694915394430728,0.4775370647387862,False,0.06735857508048482,0.1531386820092028,0.011413082474287753
4,noisy_reference_GLS,0.0551506505591961,0.0517103682350335,True,0.08269630073571377,0.027152745722570256,0.012020920211089579
4,fixed_EM,0.2590425469293458,0.4574099436524417,False,0.0658308229469548,0.14629595421978164,0.011417191471148976
4,random_EM,0.2691238339720834,0.4774990546987259,False,0.06753471825811835,0.15300395609438155,0.011413404595368945
5,no_reference,0.19052595996961452,0.4322687063374584,False,0.011415864044489688,0.10691570832157647,0.01235502680832296
5,noisy_reference_GLS,0.053434296508367396,0.04699204511152999,True,0.002076083243525595,0.02751976744275214,0.013107293128586583
5,fixed_EM,0.19029232034274113,0.4324033560532854,False,0.011224589051192613,0.10692037453828682,0.012356156316558297
5,random_EM,0.1906025533970399,0.4328653349948328,False,0.015318056214674858,0.1069150703054345,0.012355349894302464
6,no_reference,0.7371380113920827,0.2724274614024331,False,0.1418098847029205,0.21606155605580674,0.012703931366304658
6,noisy_reference_GLS,0.4179825552608971,0.17035491271793024,False,0.1322899489275043,0.11403837162319518,0.014956131501619478
6,fixed_EM,0.7379011071422137,0.2724274614024331,False,0.1435879159936479,0.21626687840702344,0.012704317598853583
6,random_EM,0.7368635547022264,0.2724274614024331,False,0.14103583794346075,0.21594518399128113,0.012703958017906513
7,no_reference,0.06173666290339486,0.09351914126563665,True,0.09006428072882233,0.07090181798042519,0.009639769966978155
7,noisy_reference_GLS,0.017647282444227086,0.026734124505495505,True,0.09100484309108547,0.018085383456837797,0.009727982645892683
7,fixed_EM,0.0615202817354894,0.09351914126563665,True,0.08599437280842426,0.0705250292194309,0.009641767327737754
7,random_EM,0.06175362425522346,0.09351914126563665,True,0.09478308731578067,0.07099890997591875,0.009640320943822245
8,no_reference,0.7813374391855765,1.096276585024297,False,0.06833086037145963,0.2892245480804879,0.01266491401732108
8,noisy_reference_GLS,0.22639737394976622,0.29409770709097494,False,0.042881343321694354,0.0716275585328094,0.015465655579228035
8,fixed_EM,0.7767471853241723,1.0910331800825461,False,0.0651874118007374,0.28700925489339474,0.012666841044062594
8,random_EM,0.7845792134604834,1.101417232036236,False,0.06383869272762843,0.29090339488305683,0.01266534951224624
9,no_reference,0.12174384194137544,0.140427645622347,False,0.04269583552561851,0.09319042047129174,0.011220088453203759
9,noisy_reference_GLS,0.02097173280994591,0.013653453832698226,True,0.02545529340078828,0.012550471492230908,0.0114023405565472
9,fixed_EM,0.12161255164893348,0.14033324599165287,False,0.04288342133964734,0.093191404215857,0.011220760217100322
9,random_EM,0.1216786462987487,0.1405882546222741,False,0.04433187960066837,0.09319061387799925,0.011220206211325755
10,no_reference,0.40304163897682344,0.9858087686037869,False,0.09642022767749758,0.20920389323232225,0.011636876198750173
10,noisy_reference_GLS,0.0964135644082238,0.1526190388457671,False,0.06925557568279317,0.04277734256759821,0.013049151790184352
10,fixed_EM,0.3947208225724381,0.9647056141567134,False,0.09796022195473797,0.2039576672616751,0.011639782769121912
10,random_EM,0.39748038913823525,0.9725658676998008,False,0.09140965739561113,0.2057069416475111,0.011640042775779118
11,no_reference,0.6944988364285138,0.8584873815488296,False,0.05677610763874219,0.21680847137704695,0.013084342799597255
11,noisy_reference_GLS,0.2591650877814953,0.30593480047251775,False,0.06715814253879993,0.07434673909929404,0.015211151510284071
11,fixed_EM,0.6939259697637081,0.8576709574030459,False,0.05571212017239624,0.2168148390055457,0.013086103833291906
11,random_EM,0.6943385302888907,0.8584963225441196,False,0.058776011594042,0.2168078304569901,0.01308443869052305
